iter	Passed	Remaining
0	42	127603
1	59	89402
2	77	77899
3	95	71717
4	113	67736
5	129	64485
6	145	62094
7	164	61357
8	202	67459
9	224	67052
10	241	65571
11	258	64279
12	276	63441
13	291	62181
14	309	61666
15	326	60934
16	345	60543
17	361	59870
18	378	59314
19	400	59724
20	423	60038
21	459	62139
22	510	66024
23	552	68510
24	572	68098
25	593	67880
26	611	67325
27	627	66653
28	644	66019
29	660	65392
30	677	64847
31	695	64544
32	713	64130
33	735	64132
34	755	63966
35	773	63649
36	790	63272
37	806	62842
38	822	62453
39	839	62092
40	855	61747
41	873	61521
42	892	61351
43	984	66149
44	1036	68058
45	1056	67831
46	1073	67428
47	1091	67141
48	1110	66893
49	1126	66446
50	1142	66075
51	1169	66278
52	1201	66819
53	1226	66901
54	1246	66758
55	1263	66410
56	1279	66079
57	1297	65808
58	1320	65806
59	1337	65545
60	1355	65301
61	1406	66667
62	1426	66522
63	1445	66322
64	1467	66265
65	1484	66012
66	1503	65802
67	1522	65639
68	1544	65619
69	1562	65392
70	1581	65258
71	1608	65400
72	1632	65445
73	1649	65219
74	1666	64975
75	1681	64699
76	1697	64427
77	1712	64170
78	1729	63929
79	1749	63849
80	1770	63792
81	1788	63631
82	1807	63506
83	1833	63664
84	1856	63670
85	1876	63583
86	1894	63437
87	1911	63264
88	1927	63037
89	1943	62844
90	1965	62828
91	1986	62789
92	2007	62749
93	2029	62739
94	2050	62706
95	2078	62877
96	2101	62889
97	2122	62862
98	2140	62708
99	2157	62559
100	2174	62416
101	2193	62320
102	2220	62440
103	2244	62508
104	2261	62365
105	2278	62196
106	2294	62040
107	2311	61906
108	2329	61787
109	2345	61631
110	2362	61500
111	2379	61365
112	2398	61284
113	2428	61481
114	2447	61398
115	2465	61299
116	2482	61169
117	2500	61072
118	2517	60943
119	2532	60791
120	2550	60688
121	2568	60588
122	2584	60461
123	2602	60357
124	2619	60254
125	2636	60146
126	2658	60136
127	2675	60038
128	2693	59944
129	2711	59851
130	2726	59721
131	2743	59604
132	2760	59496
133	2784	59557
134	2807	59581
135	2826	59531
136	2845	59465
137	2863	59379
138	2879	59275
139	2895	59160
140	2913	59074
141	2930	58979
142	2946	58860
143	2966	58842
144	2984	58763
145	3002	58694
146	3021	58639
147	3041	58616
148	3059	58544
149	3079	58503
150	3096	58427
151	3114	58352
152	3134	58325
153	3162	58440
154	3187	58505
155	3204	58425
156	3223	58365
157	3240	58279
158	3255	58168
159	3272	58080
160	3287	57964
161	3303	57869
162	3320	57787
163	3336	57697
164	3351	57592
165	3368	57501
166	3384	57409
167	3403	57368
168	3421	57312
169	3439	57258
170	3460	57244
171	3477	57169
172	3494	57103
173	3513	57065
174	3540	57147
175	3565	57202
176	3585	57187
177	3604	57148
178	3621	57066
179	3636	56977
180	3652	56886
181	3670	56827
182	3687	56757
183	3703	56685
184	3720	56607
185	3737	56538
186	3752	56453
187	3773	56441
188	3792	56400
189	3811	56368
190	3826	56274
191	3842	56196
192	3860	56149
193	3887	56223
194	3908	56221
195	3926	56177
196	3946	56149
197	3964	56096
198	3980	56025
199	3999	55986
200	4016	55925
201	4034	55877
202	4050	55805
203	4066	55735
