iter	MultiClass
0	1.38122726
1	1.376458967
2	1.371990268
3	1.367732176
4	1.364532155
5	1.361197321
6	1.357899137
7	1.354644907
8	1.351883579
9	1.348827212
10	1.346074701
11	1.343462407
12	1.340697123
13	1.33819352
14	1.336138906
15	1.333925546
16	1.331556793
17	1.329722402
18	1.327712419
19	1.326090853
20	1.324134212
21	1.322437536
22	1.320937744
23	1.319508675
24	1.318226164
25	1.316838805
26	1.315069679
27	1.313579219
28	1.312029093
29	1.310688933
30	1.309447965
31	1.307878237
32	1.306676708
33	1.305651884
34	1.304372847
35	1.303735008
36	1.302660898
37	1.301646063
38	1.300536241
39	1.299482464
40	1.298477495
41	1.29750161
42	1.296754472
43	1.295624421
44	1.294584374
45	1.293654694
46	1.293063712
47	1.292190231
48	1.29111823
49	1.29006025
50	1.28932563
51	1.288760968
52	1.287892932
53	1.287092966
54	1.286242017
55	1.285269994
56	1.284644887
57	1.284103372
58	1.283139251
59	1.282535015
60	1.281837959
61	1.281191203
62	1.280467506
63	1.279811929
64	1.279259428
65	1.278826455
66	1.278129254
67	1.277541824
68	1.276632494
69	1.275906403
70	1.275241647
71	1.274410523
72	1.273754421
73	1.27336615
74	1.272691637
75	1.272284674
76	1.2715868
77	1.271011485
78	1.270503446
79	1.269687172
80	1.269101073
81	1.268398084
82	1.267943034
83	1.267408376
84	1.266874527
85	1.265961628
86	1.265405123
87	1.264768756
88	1.264294942
89	1.263680917
90	1.263022907
91	1.262473015
92	1.261886778
93	1.261256557
94	1.260748801
95	1.260307316
96	1.259363781
97	1.258822484
98	1.258224244
99	1.257763215
100	1.257173039
101	1.256718892
102	1.256395859
103	1.255826596
104	1.255411226
105	1.254779213
106	1.254071919
107	1.25336041
108	1.252728622
109	1.252263344
110	1.251655069
111	1.251023451
112	1.250496185
113	1.250079796
114	1.249715361
115	1.249151589
116	1.248647359
117	1.24804276
118	1.247388732
119	1.246931858
120	1.246241078
121	1.245622404
122	1.245130551
123	1.244727388
124	1.244331497
125	1.243968243
126	1.243568828
127	1.243283723
128	1.242897941
129	1.242323118
130	1.241577738
131	1.240942942
132	1.240386374
133	1.239968406
134	1.23913296
135	1.23882761
136	1.238350899
137	1.237895997
138	1.237268628
139	1.236779335
140	1.236384763
141	1.235947249
142	1.235566148
143	1.234863617
144	1.23434063
145	1.234084031
146	1.233282427
147	1.232770206
148	1.232009547
149	1.231156939
150	1.230882689
151	1.230490738
152	1.230202316
153	1.229577504
154	1.228899819
155	1.228469292
156	1.227853768
157	1.227377915
158	1.226898809
159	1.226072167
160	1.225512329
161	1.225262374
162	1.224763316
163	1.224307895
164	1.223808259
165	1.223281833
166	1.222837463
167	1.222447523
168	1.222065274
169	1.221364819
170	1.220798344
171	1.220281587
172	1.219772083
173	1.219219326
174	1.218608194
175	1.217806182
176	1.217369477
177	1.216868324
178	1.216531725
179	1.216103008
180	1.215697144
181	1.215202266
182	1.214931448
183	1.214476901
184	1.214242806
185	1.213680524
186	1.21310256
187	1.21262381
188	1.212246032
189	1.211790568
190	1.211319036
191	1.211041732
192	1.210685009
193	1.21005253
194	1.209779861
195	1.209344713
196	1.208971169
197	1.208593938
198	1.208170426
199	1.207514214
200	1.206639564
201	1.205862214
202	1.205286326
203	1.204804168
