iter	Passed	Remaining
0	26	79020
1	45	67483
2	63	63555
3	81	61263
4	97	58546
5	114	56991
6	134	57701
7	162	60738
8	190	63308
9	211	63250
10	227	61906
11	243	60647
12	259	59626
13	275	58798
14	291	58063
15	306	57214
16	321	56438
17	336	55686
18	350	54984
19	365	54403
20	383	54375
21	401	54399
22	418	54212
23	434	53938
24	455	54263
25	483	55318
26	510	56209
27	529	56166
28	546	55977
29	562	55642
30	577	55334
31	593	55053
32	609	54822
33	623	54419
34	639	54164
35	654	53873
36	669	53623
37	684	53363
38	699	53113
39	719	53226
40	741	53479
41	758	53414
42	775	53317
43	794	53357
44	821	53953
45	847	54448
46	865	54409
47	883	54323
48	899	54164
49	915	54019
50	936	54180
51	958	54313
52	976	54288
53	995	54285
54	1013	54248
55	1032	54261
56	1051	54271
57	1076	54580
58	1095	54607
59	1113	54578
60	1130	54467
61	1148	54439
62	1181	55102
63	1212	55639
64	1252	56558
65	1269	56433
66	1286	56339
67	1303	56223
68	1319	56070
69	1336	55947
70	1352	55811
71	1369	55699
72	1385	55561
73	1401	55429
74	1419	55362
75	1442	55484
76	1462	55502
77	1480	55469
78	1499	55429
79	1522	55577
80	1550	55859
81	1624	57803
82	1671	58752
83	1724	59872
84	1756	60232
85	1784	60456
86	1815	60783
87	1858	61492
88	1894	61973
89	1926	62279
90	1955	62499
91	1975	62453
92	1998	62461
93	2019	62424
94	2039	62363
95	2057	62243
96	2074	62085
97	2091	61926
98	2109	61824
99	2128	61729
100	2145	61577
101	2162	61452
102	2184	61440
103	2213	61634
104	2240	61777
105	2260	61715
106	2278	61602
107	2297	61517
108	2315	61410
109	2331	61250
110	2347	61097
111	2363	60936
112	2379	60792
113	2395	60655
114	2413	60558
115	2434	60520
116	2455	60515
117	2476	60492
118	2494	60390
119	2514	60355
120	2539	60415
121	2561	60436
122	2605	60934
123	2637	61182
124	2668	61378
125	2693	61442
126	2725	61649
127	2757	61868
128	2778	61837
129	2801	61845
130	2820	61773
131	2840	61725
132	2859	61650
133	2880	61597
134	2898	61517
135	2919	61480
136	2941	61463
137	2964	61477
138	2985	61444
139	3007	61440
140	3030	61443
141	3072	61836
142	3112	62182
143	3135	62178
144	3153	62082
145	3171	61998
146	3191	61935
147	3208	61836
148	3225	61708
149	3242	61611
150	3264	61595
151	3290	61662
152	3320	61794
153	3340	61736
154	3359	61668
155	3378	61595
156	3396	61498
157	3412	61379
158	3429	61274
159	3445	61157
160	3462	61048
161	3480	60966
162	3504	60999
163	3534	61123
164	3564	61248
165	3587	61251
166	3617	61361
167	3645	61458
168	3668	61447
169	3689	61427
170	3708	61354
171	3727	61283
172	3743	61168
173	3763	61129
174	3778	60996
175	3792	60857
176	3807	60734
177	3822	60608
178	3837	60483
179	3852	60353
180	3867	60238
181	3882	60120
182	3897	60003
183	3915	59916
184	3935	59885
185	3965	59998
186	3996	60122
187	4018	60102
188	4039	60085
189	4059	60032
190	4080	60014
191	4111	60131
192	4152	60393
193	4190	60608
194	4230	60848
195	4259	60943
196	4279	60886
197	4311	61009
198	4354	61297
199	4381	61334
200	4398	61253
201	4415	61163
202	4434	61102
203	4457	61099
204	4478	61064
205	4495	60978
206	4514	60912
207	4533	60849
208	4551	60786
209	4571	60731
210	4595	60745
211	4625	60825
212	4663	61020
213	4689	61052
214	4708	60986
215	4729	60952
216	4746	60868
217	4763	60792
218	4780	60710
219	4796	60606
220	4811	60508
221	4826	60400
222	4841	60293
223	4857	60197
224	4873	60110
225	4892	60046
226	4909	59976
227	4932	59970
228	4951	59914
