iter	Passed	Remaining
0	23	70831
1	38	58403
2	54	54325
3	73	55098
4	94	56365
5	117	58405
6	139	59518
7	164	61421
8	181	60263
9	199	59795
10	217	59066
11	234	58348
12	249	57370
13	265	56580
14	280	55907
15	296	55369
16	312	54860
17	328	54501
18	343	53926
19	360	53763
20	380	53928
21	397	53743
22	413	53564
23	429	53231
24	450	53574
25	479	54799
26	504	55533
27	523	55528
28	539	55274
29	556	55097
30	573	54924
31	591	54858
32	607	54619
33	625	54571
34	647	54830
35	669	55089
36	690	55312
37	714	55667
38	742	56384
39	764	56591
40	789	56962
41	829	58437
42	860	59204
43	886	59554
44	906	59502
45	922	59232
46	938	58943
47	953	58667
48	972	58579
49	991	58497
50	1008	58319
51	1029	58340
52	1055	58689
53	1078	58857
54	1096	58692
55	1114	58565
56	1128	58269
57	1143	58016
58	1158	57734
59	1172	57464
60	1187	57198
61	1202	56982
62	1217	56754
63	1235	56665
64	1258	56822
65	1279	56894
66	1298	56843
67	1334	57549
68	1374	58382
69	1400	58619
70	1422	58674
71	1440	58567
72	1454	58318
73	1468	58084
74	1485	57918
75	1504	57876
76	1524	57883
77	1546	57938
78	1563	57809
79	1579	57658
80	1596	57521
81	1610	57295
82	1625	57120
83	1644	57070
84	1666	57159
85	1689	57255
86	1713	57368
87	1735	57434
88	1752	57330
89	1773	57341
90	1794	57374
91	1814	57348
92	1837	57446
93	1866	57690
94	1889	57767
95	1908	57744
96	1930	57779
97	1949	57726
98	1967	57657
99	1986	57613
100	2005	57576
101	2030	57699
102	2056	57838
103	2083	58018
104	2111	58227
105	2137	58370
106	2168	58634
107	2198	58882
108	2225	59034
109	2267	59581
110	2303	59960
111	2330	60100
112	2350	60062
113	2370	60007
114	2392	60011
115	2416	60083
116	2442	60185
117	2461	60112
118	2478	60015
119	2498	59974
120	2521	59991
121	2542	59978
122	2575	60245
123	2601	60343
124	2624	60355
125	2647	60381
126	2669	60397
127	2688	60324
128	2707	60256
129	2725	60176
130	2748	60196
131	2790	60640
132	2826	60919
133	2844	60846
134	2860	60716
135	2877	60598
136	2895	60513
137	2910	60371
138	2925	60218
139	2940	60066
140	2956	59950
141	2977	59919
142	2998	59909
143	3024	59978
144	3045	59966
145	3063	59880
146	3079	59761
147	3096	59673
148	3113	59583
149	3130	59487
150	3145	59349
151	3161	59231
152	3179	59159
153	3203	59194
154	3228	59253
155	3245	59175
156	3262	59071
157	3278	58964
158	3294	58860
159	3309	58748
160	3324	58620
161	3339	58501
162	3355	58396
163	3370	58277
164	3384	58158
165	3399	58044
166	3416	57954
167	3432	57856
168	3448	57768
169	3470	57770
170	3491	57761
171	3507	57672
172	3526	57621
173	3551	57682
174	3582	57829
175	3616	58025
176	3639	58046
177	3660	58035
178	3679	57981
179	3697	57933
180	3718	57907
181	3737	57863
182	3755	57811
183	3772	57739
184	3790	57675
185	3808	57618
186	3824	57537
187	3841	57451
188	3858	57386
189	3874	57294
190	3889	57205
191	3905	57120
192	3921	57038
193	3941	57011
194	3970	57117
195	3996	57170
196	4014	57121
197	4030	57037
198	4047	56973
199	4066	56934
200	4081	56833
201	4096	56745
202	4111	56648
203	4126	56559
204	4142	56474
205	4156	56374
206	4170	56276
207	4186	56201
208	4205	56160
209	4228	56179
210	4250	56177
211	4268	56136
212	4284	56059
213	4303	56021
214	4327	56057
215	4354	56124
216	4382	56209
217	4401	56171
218	4418	56109
219	4434	56038
220	4450	55961
221	4469	55931
222	4489	55907
223	4504	55822
224	4519	55741
225	4536	55680
226	4552	55614
227	4574	55621
228	4598	55639
229	4617	55611
230	4633	55536
231	4649	55473
232	4667	55424
233	4699	55547
234	4727	55627
235	4746	55589
236	4763	55533
237	4779	55466
238	4794	55392
239	4811	55327
240	4826	55256
241	4847	55240
242	4869	55252
243	4888	55214
