iter	MultiClass
0	1.380387155
1	1.375269715
2	1.37062215
3	1.366307376
4	1.36264707
5	1.359505457
6	1.3563614
7	1.352646626
8	1.349905278
9	1.346544523
10	1.343866176
11	1.341628045
12	1.339207904
13	1.336522044
14	1.334572859
15	1.332166979
16	1.330031631
17	1.328271759
18	1.326153847
19	1.324252626
20	1.322454266
21	1.320938472
22	1.31932453
23	1.318402034
24	1.316736045
25	1.314916991
26	1.313795569
27	1.312529897
28	1.311138304
29	1.309987068
30	1.308606579
31	1.307517025
32	1.306574205
33	1.305065288
34	1.303849439
35	1.302673621
36	1.301758194
37	1.30024052
38	1.29910285
39	1.297977042
40	1.297198573
41	1.296218033
42	1.295278661
43	1.294656904
44	1.293675302
45	1.292842101
46	1.292163252
47	1.291214277
48	1.290132554
49	1.289165995
50	1.288357029
51	1.287561248
52	1.286447978
53	1.285716473
54	1.285112158
55	1.284136976
56	1.283438288
57	1.282906168
58	1.281981318
59	1.281107425
60	1.280548535
61	1.279672232
62	1.27885553
63	1.278226323
64	1.277852495
65	1.277143775
66	1.276588629
67	1.276018508
68	1.275335229
69	1.274474341
70	1.273972987
71	1.273224464
72	1.272659332
73	1.271977969
74	1.27116722
75	1.270450714
76	1.269906398
77	1.269173655
78	1.268510665
79	1.267999772
80	1.267393283
81	1.266656411
82	1.266033052
83	1.265148782
84	1.26480439
85	1.263940093
86	1.263477492
87	1.26287834
88	1.262254065
89	1.261640821
90	1.261309198
91	1.260774078
92	1.260046873
93	1.259427095
94	1.258938284
95	1.258136191
96	1.25759482
97	1.257283175
98	1.256646385
99	1.25598803
100	1.255483765
101	1.254804058
102	1.254191271
103	1.253509802
104	1.252940757
105	1.252457642
106	1.251864077
107	1.251316853
108	1.250934707
109	1.250539013
110	1.249968505
111	1.249440764
112	1.248913117
113	1.248687755
114	1.247868696
115	1.247291045
116	1.246492083
117	1.246061919
118	1.245259403
119	1.244780195
120	1.243970218
121	1.243643131
122	1.242923543
123	1.242290095
124	1.24195176
125	1.241418639
126	1.240931591
127	1.240528468
128	1.239910052
129	1.239327189
130	1.238740165
131	1.238180453
132	1.237785305
133	1.237297828
134	1.236952008
135	1.236690127
136	1.236413031
137	1.235912747
138	1.235114338
139	1.234346674
140	1.233831586
141	1.23325636
142	1.232959022
143	1.232577476
144	1.232118235
145	1.231492553
146	1.230846628
147	1.230267899
148	1.229666569
149	1.22891246
150	1.228393159
151	1.228032433
152	1.227638897
153	1.22706934
154	1.226472367
155	1.225910306
156	1.22560231
157	1.225189315
158	1.22488759
159	1.224254371
160	1.223607951
161	1.223062627
162	1.222298309
163	1.221586839
164	1.221077092
165	1.220533872
166	1.220189151
167	1.219657806
168	1.219138845
169	1.218531951
170	1.21808539
171	1.217403578
172	1.216896409
173	1.216245784
174	1.215827475
175	1.215172733
176	1.214845528
177	1.214447377
178	1.214027514
179	1.213344168
180	1.212634761
181	1.212101206
182	1.211226846
183	1.211030867
184	1.210522139
185	1.210134338
186	1.209802396
187	1.209228573
188	1.208532808
189	1.20812234
190	1.207626303
191	1.206978484
192	1.206546227
193	1.206122686
194	1.205486554
195	1.204856255
196	1.204507639
197	1.203731972
198	1.203306905
199	1.202977127
200	1.202687434
201	1.202289279
202	1.202100074
203	1.201493653
204	1.200990483
205	1.200457378
206	1.199967022
207	1.199369142
208	1.198963786
209	1.198351329
210	1.197743272
211	1.197099741
212	1.196464945
213	1.195611496
214	1.194848434
215	1.194459464
216	1.193741803
217	1.193002024
218	1.192418157
219	1.191777536
220	1.191463643
221	1.190856234
222	1.190337153
223	1.189590192
224	1.189293773
225	1.188448082
226	1.187909941
227	1.187268982
228	1.186641929
229	1.186385284
230	1.185534993
231	1.184952177
232	1.184499002
233	1.183781602
234	1.183263905
235	1.182658184
236	1.182198075
237	1.181678685
238	1.181332163
239	1.180691908
240	1.180115446
241	1.17932232
242	1.178968891
243	1.178355525
