avg_train_accuracy,avg_val_accuracy
0.2829038977622986,0.28077993988990785
0.6144498586654663,0.2518105834722519
0.9238857865333557,0.25891364812850953
0.9848537564277648,0.2572423368692398
0.9929317474365235,0.252089136838913
0.994672691822052,0.2566852331161499
0.9952297925949096,0.2582172691822052
0.9952646136283875,0.25264624059200286
0.9952994465827942,0.2537604421377182
0.9956128120422363,0.25125348269939424
0.9957520961761475,0.2522284179925919
0.9952646136283875,0.2545960992574692
0.9955779910087585,0.2541782736778259
0.9957172632217407,0.2545960992574692
0.995821726322174,0.2516713052988052
0.995508348941803,0.2558495819568634
0.9954735279083252,0.25668523609638216
0.9956128239631653,0.25668523609638216
0.995821726322174,0.25515320897102356
0.9956128120422363,0.25334262251853945
