iterations,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
0,1.3810608947339384,0.00033933823594337005,1.3804059673617335,0.0006452863944895247
1,1.3766008134029957,0.0004364183319018865,1.3753921678437684,0.0007645871996578516
2,1.3725431322204813,0.0005366038181822476,1.370806831158774,0.0008644458581678989
3,1.3689873374975192,0.0006435828296257829,1.3665756838111869,0.0009971613923141132
4,1.3660227268505487,0.0009753409690254791,1.3630553782467303,0.0011038603033483886
5,1.3629725249833666,0.0012272251112974062,1.3595194290788204,0.0012584900225544864
6,1.3602346358061275,0.0011982360746773822,1.3560332907843526,0.0015258369765795963
7,1.3572670813703476,0.0014206304846369848,1.352362397012616,0.0016030397857769128
8,1.3548942797505987,0.001713807439184905,1.3495061005179152,0.0016503504237705298
9,1.352202388036973,0.0017509612957411838,1.3463027850936617,0.0016905916630904816
10,1.3501208296296023,0.0018735551284586726,1.3436083376453516,0.0017955385574250124
11,1.3482211037010803,0.001956572252935594,1.3411901206883357,0.001644721551397885
12,1.346104616529672,0.0020875002162454746,1.338496530657436,0.0016406531515434414
13,1.344465591773677,0.0023610089210215216,1.3361008585030265,0.0014843165213594709
14,1.3430415391085284,0.002613784878761738,1.334123654598543,0.0014061515013576863
15,1.3416920025613102,0.002827072967203966,1.3319195032645996,0.001323839166455542
16,1.3400040260382409,0.0029924741539279908,1.3296291555825512,0.001312865275452447
17,1.338764093397145,0.003164819245545319,1.3277264060124598,0.0014015743709859753
18,1.3374996781253308,0.0032960390384574227,1.3257506564989014,0.001326208514051945
19,1.3363945752206352,0.003350395292151613,1.324060095689782,0.0013639792512877356
20,1.3350477280118125,0.003685814080264139,1.322044481946893,0.001441614343433432
21,1.3338712328745437,0.0036294839209402453,1.3202261951199397,0.0016394584309314337
22,1.3326281938026996,0.0037310647341271103,1.318455306106382,0.0018136059694008235
23,1.3316490226438584,0.003895333143550026,1.3171473856103095,0.00188612335113591
24,1.3306092922020454,0.003827806513141622,1.3155080665783043,0.0020551708638174137
25,1.3296904011389679,0.004105577700680796,1.3139183195245192,0.0020831651862236694
26,1.328871219572828,0.004268162668069963,1.3123943309822572,0.002140835814015661
27,1.3282583601872586,0.004378461409784118,1.311001594354172,0.0021358162586586436
28,1.3273488363099375,0.004528786658158449,1.309435585461967,0.002178540592565507
29,1.3265796576640232,0.004682543679564341,1.308177843899358,0.0021862702478898225
30,1.3257948122770604,0.004761362945847194,1.306831038279895,0.002212952108224109
31,1.3249084043405333,0.004986868175258143,1.3055270934046526,0.002189069929454415
32,1.3242309298247108,0.005077867676780668,1.3044194315154016,0.0021942467909191357
33,1.3236166710923514,0.005107038812045562,1.3031984450905962,0.0021271502478627043
34,1.322782357651938,0.005372457934290676,1.301965073811304,0.0021750756339250846
35,1.3222447893536515,0.005318082913005575,1.3009385663757875,0.002313806606263153
36,1.321937387349064,0.005306241863975195,1.2999950863160517,0.0022488184718556475
37,1.3214387525965925,0.0053546388276022715,1.2988423945789973,0.002130943427865507
38,1.320926070217825,0.0053551658533018374,1.2977920474350149,0.0020881962149487425
39,1.3204444406295184,0.0054001097263492465,1.2967206000736209,0.0020864064845238246
40,1.3199189461487966,0.005680000053291589,1.2957211641878181,0.002161421300583142
41,1.3194388760281601,0.0057739704137614156,1.2947986932081625,0.002082061986221035
42,1.318994143046113,0.0058851888167985806,1.2939804358655316,0.0020742136924244113
43,1.3185880331920505,0.005828168506759915,1.2931186398999384,0.0020593427344272122
44,1.318071159585875,0.006052828349601884,1.292172486859398,0.00197327417274572
