iterations,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
0,1.3829300302476717,0.0007297863161210276,1.3828434929437337,0.0005833500133310646
1,1.3798464221080688,0.0011453500373705657,1.3796137793499152,0.0009236966728841049
2,1.3771825048377477,0.0013975687834709815,1.3767998328750393,0.0011284849409845827
3,1.374147253824519,0.00138235397780749,1.3737549575292118,0.0008444572437755001
4,1.3713933344169633,0.0011555153141825853,1.3709928548455854,0.0005897516383939951
5,1.369430090081746,0.0008680869495783691,1.3688599188716846,0.0006024598584537015
6,1.3673157221077212,0.0010497690217822445,1.3665256365042435,0.0006898496682615251
7,1.3655029235355145,0.0015301408791813138,1.3645678725603314,0.000996562311905302
8,1.3637294278607783,0.0015726329813469072,1.3625636438419781,0.0009310422036203789
9,1.3617157919357692,0.002003504423323114,1.3603414448232058,0.0015383253596258518
10,1.3597061823426453,0.0021081245697606344,1.3582632914897164,0.0015939819679652847
11,1.3578555263324137,0.002255248266452834,1.3563065431995114,0.0016586772327876341
12,1.3562213951233768,0.002307746119510244,1.354638721014498,0.001496881190785559
13,1.354693809099533,0.0028081079939646664,1.3529792908475993,0.001718180970848165
14,1.3532537023130082,0.0028255853256443936,1.3514351992138844,0.0016369824355047758
15,1.351961152922971,0.0032500878719261797,1.350070519710511,0.002055385751951941
16,1.3506672053312367,0.0031221504651848665,1.348640410720381,0.0019450838521397544
17,1.3495560538266498,0.0030778519580049127,1.347381279261809,0.0017907804632546545
18,1.348238778221765,0.0028593880634921673,1.34603989091746,0.0018567536201523035
19,1.347148101929113,0.0029670014894076996,1.344924240369402,0.001889626005184998
20,1.3458629582488761,0.003145615278143898,1.3436172580220205,0.0019876818408056073
21,1.3449541177232067,0.0034808819302536488,1.342647284788052,0.0020748917029782786
22,1.3440374866300815,0.003750204425470759,1.3414376300002502,0.002145898836925661
23,1.3432638405369608,0.0036625636136956756,1.3404987208425454,0.0021443902583578307
24,1.3422328678845274,0.0037641628559868206,1.3393779181641106,0.0020597671632388032
25,1.3409641364126905,0.003663897915226886,1.3380569504596067,0.001925249724398695
26,1.3400106291193619,0.003985740232678844,1.3369272625817992,0.00210529999186168
27,1.3391897249580844,0.003962845092997262,1.3359538035896654,0.0019382329055016136
28,1.338066674799761,0.0039102632040165,1.3346995798181909,0.0017496293575108637
29,1.3368823319225132,0.003544040543952691,1.3332876081280924,0.0014717180759007467
30,1.335949292437851,0.003524658620546125,1.332328895128391,0.001343431181903333
31,1.3352021185390142,0.003480117326096837,1.331467852578327,0.0014211019262850802
32,1.3344407728866345,0.0032030871695254174,1.3304543947320275,0.0010870508368687165
33,1.3335007182880259,0.0032028854753161306,1.3292842127818365,0.0012718694855630155
34,1.3328121305989837,0.0030905442091728355,1.328478968495524,0.0013294972905874575
35,1.3320154987546058,0.0029903913419838148,1.3274985335973768,0.001147766586953474
36,1.331228212832033,0.0032850737940219627,1.326577048329662,0.0012413913459148683
37,1.330302552050733,0.0033347141390981856,1.3254767892989894,0.0012409664673559478
38,1.3295641032788847,0.003357889648329468,1.3245679524053446,0.0011879159673267696
39,1.3287663552585613,0.003436695753589356,1.3236651725619581,0.0012729550165462339
40,1.328015580655582,0.003403935143850834,1.3227913863113205,0.0011133616081621792
41,1.327521624215738,0.003352152120135046,1.322096661656595,0.0011376908210999363
42,1.3267568029185288,0.0030561278691424833,1.3211399306272171,0.0008935880483232106
43,1.3262555971725616,0.003025142349222759,1.3204491966475485,0.0006301437296644182
44,1.3255719294685258,0.0031468861846014272,1.3195737680372326,0.0007464623078985313
45,1.3247355620011554,0.0033416962208350515,1.318562043942528,0.0009067703457243918
46,1.3241457465977413,0.003246304101753796,1.3177094307419313,0.0010119955546221708
47,1.3235779868684705,0.0033076420686339054,1.3169942861481592,0.0010064555794583956
48,1.322801281562814,0.0032524035366146373,1.3161823163128645,0.0009370698154137101
49,1.322100476038319,0.003249959545234399,1.3153478136368117,0.0009673080752127332
50,1.3214860448976076,0.0034141508950413135,1.3146005456122896,0.000935384845231182
51,1.3208560922568622,0.003524828627059979,1.3139473648123343,0.0011439955292451354
52,1.3201358035613981,0.003761987501141734,1.3132251596791393,0.0011529524832895072
53,1.3197126099813192,0.003911473740140026,1.3126489326092539,0.001282077992320479
54,1.3191532677714806,0.003957524862028666,1.3119599433202684,0.0013466642734234347
55,1.318409987679662,0.0038373085272068244,1.3111565759779975,0.001315126437439687
56,1.3177005829262083,0.0037231279932276947,1.3103087763499546,0.0014828695476606423
57,1.3171579501557358,0.003694215597443173,1.3097903255673982,0.0015071117517093896
58,1.31635000617179,0.0035006981415088793,1.3088485094979565,0.0015433036053394181
59,1.315818915848556,0.0032863716359048598,1.3081002250718659,0.0015511243465956839
60,1.3150899352014584,0.003083171812296863,1.3073336163476774,0.00164872456643762
61,1.314460769146319,0.003176857956528234,1.306574895610058,0.0016248572692090261
62,1.3139714147398416,0.0031133898056422897,1.3059977034699688,0.0017277635889642797
63,1.3134229152524384,0.003102652329567104,1.3053588491226402,0.0015426790179331035
64,1.3130552285077353,0.003183096246063943,1.3047355550207271,0.0016003806617154199
65,1.3125498635340505,0.00328356252302538,1.3040980559516104,0.0017014392257345568
66,1.312058237510878,0.003451153581786709,1.3033780949083626,0.0017182067151775761
67,1.311718882197844,0.0034288090704833636,1.3028518204612056,0.0017470723088634187
68,1.311294335274469,0.00329166852247449,1.3023174227614125,0.00166130232480183
69,1.3107285193932956,0.0032778018207549023,1.3016675893908354,0.0015787459426817262
70,1.3099781252959228,0.003195839995696193,1.300812593486096,0.0015445168364751714
71,1.3092604362981908,0.0033483970133154095,1.2999889401682914,0.0016491003170107806
72,1.3087587634599016,0.003219105239777738,1.2994252372956452,0.001557430424873723
73,1.3084522262641705,0.003189396280503,1.2989942273966792,0.0015661504658842577
74,1.3078717712171715,0.003105952142229518,1.2983950645580298,0.001476671550560156
75,1.3073747491920673,0.003296439842328274,1.2977163425155525,0.0016670453866142478
76,1.3069606693743392,0.003395814870444137,1.2971722090479367,0.0018750792251560806
77,1.306441246264381,0.0033536258530290613,1.2964446908988698,0.0018602487349946737
78,1.306052153306374,0.0034198629775522046,1.295915052671597,0.0019050219597275923
79,1.3054911274537973,0.003390906660539099,1.2952467103433674,0.001918279825656036
80,1.3052069910971433,0.0033399733477700966,1.2947113172309614,0.0018208790022560296
81,1.304614140146088,0.003162588025850658,1.2940556167019064,0.00199974235761547
82,1.304286312458704,0.0031401293775002487,1.2934943690964797,0.0020020220698042292
83,1.303878740244438,0.003100762416919335,1.292981140561978,0.002122248442014539
84,1.3034302242538724,0.003139632452038983,1.292364401760406,0.0021981923202383036
85,1.3030199239454783,0.0030576657428223355,1.2918337866360585,0.0021784735133507207
86,1.3026537049793077,0.0029772392024921893,1.2913203761748615,0.0022215099473937507
87,1.3021119088965065,0.002966719300243201,1.2906022696260866,0.002188308999365556
88,1.3017530706460572,0.0028248451673887997,1.2900557882425905,0.0022250399105097625
89,1.3013696370003005,0.0028483729450461542,1.289527388128483,0.0023009650616375053
90,1.3009218907048206,0.0029409153976361667,1.2890481995219392,0.0024035728772395567
91,1.3004333587840906,0.002780735270965036,1.2884444933649046,0.0023804486246627376
92,1.3000104324613506,0.0028575353764543083,1.2879781033926276,0.0022902578986427383
93,1.2994825651234376,0.0030779250260028115,1.2872881925911712,0.002449961945689321
94,1.2990364459513326,0.0028270022478686556,1.2867677502496193,0.0025302095192424523
95,1.2986355272752126,0.0027945489590279595,1.2862017780820933,0.0026325704511620572
96,1.2981373066609418,0.002870408789708663,1.2855566850621938,0.0026196520415930047
97,1.2978112086118085,0.0029580329241812313,1.2850767681594129,0.0027622052183808115
98,1.2973541592891589,0.003133499291650878,1.2845398359457785,0.0028222208185432708
99,1.2969403833717223,0.0032918427844881113,1.2839693493295417,0.002963435807175324
100,1.2965440210024,0.003317640689116567,1.2834729680197727,0.0030839535107221494
101,1.2962395634069295,0.003405799806177377,1.2829544766082472,0.0031039774938276792
102,1.2957447406738063,0.0032402851174652943,1.2823426924169625,0.003031480400997139
103,1.2952615795885258,0.0030809678422631295,1.2817413008205452,0.0029633134644337497
104,1.294833877642752,0.003105072585499695,1.2811512935068667,0.002971723817097838
105,1.2944582010410581,0.0031671748960470027,1.2806246687108178,0.0029455189490755858
106,1.2940035884781333,0.0033204459939220627,1.2801273929330939,0.0030117550008970997
107,1.2936552515954314,0.0034047606343763992,1.2796330185947784,0.0029667344609655894
108,1.2932531346412277,0.003472983263558051,1.2790172600761953,0.0030429477801621335
109,1.2927257670494596,0.0035289645327214654,1.2784001339502968,0.0031007884122966844
110,1.2922609778209284,0.003362719649480402,1.27785273341193,0.0031085351327123406
111,1.291902399424145,0.0031198949504841573,1.277203683872348,0.0029921074942853678
112,1.2915255015953357,0.003010833892598867,1.2766752553001426,0.003078716714796681
113,1.2911243006116668,0.0029117068247100776,1.2762716926124902,0.00300697439509311
114,1.2907026796375116,0.0028019852799273767,1.2757159891311747,0.00288647603399777
115,1.2903970274861911,0.0027841769465720427,1.2752909485745396,0.002833455387493217
116,1.2899241213116024,0.00284541520418078,1.274695859195613,0.0027958271939088272
117,1.2895699616432064,0.0028741240730154292,1.2741974920179977,0.0029155823751086324
118,1.2891195064954697,0.002865240557946725,1.273741253086656,0.0029047325564744344
119,1.2885672302396238,0.0028837200911062664,1.2730947914947255,0.00303140622337531
120,1.2882529522348254,0.002974720595989618,1.2726326072377776,0.0031290253086570783
121,1.2879496646678086,0.0030843543311200247,1.2721761161352674,0.003310969513986603
122,1.28765467297668,0.0030489238891092596,1.2718024522194615,0.003425110825113996
123,1.2871875359799672,0.0030584738180838324,1.2712394033956484,0.003549852530090981
124,1.2868040284820652,0.0030773864415733175,1.2707624443570986,0.0036130390851439463
125,1.2864176462988783,0.0030875373678939068,1.270299886900385,0.0035784389791619574
126,1.2860296089412173,0.003036353721436137,1.2697489166493416,0.0034980020626698975
127,1.2856335665337377,0.0031468823229633884,1.2692593249479276,0.00354419740509903
128,1.2850871900499943,0.0031284044190759063,1.2686854241237189,0.0034007564366532045
129,1.2846699876153753,0.003182354361314037,1.2681743077148606,0.0034943087880772742
130,1.2842343621356516,0.0033276966348194208,1.2675764046321754,0.0035360751900812832
131,1.283860629824617,0.003348344966321201,1.2669662391054644,0.0036290893513356132
132,1.283399106086364,0.0034331168220042498,1.2664232665355268,0.0037381729376014276
133,1.2828596230098157,0.003463718492355727,1.2658445880796019,0.00362074938217514
134,1.282545463107202,0.003462470120277647,1.2654153930700232,0.0035786049076156506
135,1.2820617386865867,0.003386596715779611,1.2647926880326341,0.0035658605326520415
136,1.2815251052049514,0.0032799225617308795,1.2641090297096744,0.0034189746708704716
137,1.281279990246206,0.0033350601918420617,1.2636907469918357,0.0034476289467498538
138,1.2809319632256249,0.003406979467374584,1.2631630464767116,0.0036035679193303265
139,1.2805290962640492,0.0034583985952552137,1.2626372242301156,0.0036145307619980245
140,1.2801885118643181,0.003560888303607408,1.2620890234411815,0.003647674907926514
141,1.2797615876483925,0.003497457223897673,1.2615733620112608,0.003690945857439362
142,1.2793377302655884,0.003586734799737187,1.26103086884743,0.003677544507503401
143,1.2790679341872213,0.0035750249022983537,1.260583543695637,0.003611386206319236
144,1.2786835045801028,0.0035141442748430466,1.2601571322109046,0.003589241856520103
145,1.2784023975884533,0.0036241134589482314,1.2596972441814258,0.0036620446661243707
146,1.2780490799582385,0.003636781736583075,1.259202669169482,0.0036980817861651505
147,1.2776849064960518,0.0037103084443179933,1.258696627892641,0.0038128189507346507
148,1.2774157551848317,0.003781695105222954,1.2583186342879902,0.0038234272768385897
149,1.277073844019489,0.0036556561551556867,1.2577962151988704,0.003862403751232959
150,1.276556532387449,0.003743567777439788,1.2571707538269918,0.0038485311615349387
151,1.27619386267778,0.003879801729053141,1.2567170330375916,0.0039006923316903253
152,1.2757361924290704,0.003970363645166923,1.2560429605853214,0.0037951962146035917
153,1.2753569525332915,0.004076868692128586,1.2555278458095955,0.0037858260620702157
154,1.2750541854288602,0.00411639590227928,1.2550827948669687,0.0039326861561297935
155,1.2745886688725574,0.004314634224026227,1.2545043552947408,0.004072996469350239
156,1.2741152349466525,0.00430924258160786,1.2539856971894174,0.004095981913432537
157,1.2737152239047778,0.004389327790732816,1.2534062081519683,0.004089865276605837
158,1.2733494729834673,0.004393947514908512,1.252924707038407,0.004063662445692989
159,1.2730317087505167,0.004479572411512979,1.2524088253189192,0.004094803257278839
160,1.272607012581775,0.004387446910726179,1.251788433968781,0.0040958022065259204
161,1.272136715188602,0.004350248418486994,1.2511945781364644,0.004038088457388011
162,1.2717252969352337,0.004434305722989553,1.2505857551589277,0.004148379183784666
163,1.2712679827939088,0.004539754485405985,1.2499525729815375,0.004175707883264654
