iter	MultiClass
0	1.379874597
1	1.374795783
2	1.370204347
3	1.366078148
4	1.362096406
5	1.358155194
6	1.35406024
7	1.350629193
8	1.347879983
9	1.345010626
10	1.342484911
11	1.340019887
12	1.337663957
13	1.335255234
14	1.333085155
15	1.331114934
16	1.329138105
17	1.326962838
18	1.324922228
19	1.323203954
20	1.321467249
21	1.319464774
22	1.31735824
23	1.31575721
24	1.314018392
25	1.312099876
26	1.310308146
27	1.308739291
28	1.307238998
29	1.305937749
30	1.304560702
31	1.303063043
32	1.302084219
33	1.300964817
34	1.299567145
35	1.298503387
36	1.297750464
37	1.296838723
38	1.295838473
39	1.294912956
40	1.293848885
41	1.293232473
42	1.292295186
43	1.291131772
44	1.290178808
45	1.289337884
46	1.288808579
47	1.287865834
48	1.287132245
49	1.28595654
50	1.285246609
51	1.284420588
52	1.283332094
53	1.282508239
54	1.28170825
55	1.280853085
56	1.280202753
57	1.279457376
58	1.278711803
59	1.277962146
60	1.277097362
61	1.276345475
62	1.275769806
63	1.275194032
64	1.274492906
65	1.273980701
66	1.273362709
67	1.272745387
68	1.271942811
69	1.27137716
70	1.270733804
71	1.269930976
72	1.269273032
73	1.268582853
74	1.267870232
75	1.266998327
76	1.26648135
77	1.266071515
78	1.265272852
79	1.264725926
80	1.264092134
81	1.26349627
82	1.262856996
83	1.262406022
84	1.261996051
85	1.261023087
86	1.260209583
87	1.25951744
88	1.259094793
89	1.258424278
90	1.258021475
91	1.25756464
92	1.257010731
93	1.256597795
94	1.256071837
95	1.255170559
96	1.254715416
97	1.254018119
98	1.253470983
99	1.253063952
100	1.252677394
101	1.251850658
102	1.251508758
103	1.251106978
104	1.250806146
105	1.250120871
106	1.249616334
107	1.248935156
108	1.248498153
109	1.247987867
110	1.247412984
111	1.247020516
112	1.246592813
113	1.245984355
114	1.245342027
115	1.244914087
116	1.244213885
117	1.243662923
118	1.242952078
119	1.242592814
120	1.241885141
121	1.241398888
122	1.240694119
123	1.240396913
124	1.239695934
