iter	MultiClass
0	1.379690931
1	1.374598064
2	1.369862728
3	1.365321111
4	1.362105973
5	1.358471358
6	1.354972484
7	1.351040941
8	1.347988294
9	1.344506251
10	1.341358281
11	1.339213865
12	1.336324757
13	1.334230024
14	1.332530089
15	1.330411547
16	1.327973254
17	1.325996997
18	1.324221641
19	1.322478416
20	1.32018966
21	1.318041326
22	1.316211437
23	1.314878992
24	1.313104527
25	1.311791279
26	1.310199392
27	1.3089731
28	1.307306557
29	1.306051786
30	1.304725553
31	1.303627527
32	1.302403596
33	1.30131
34	1.300010117
35	1.298782046
36	1.297765017
37	1.2967641
38	1.29569994
39	1.294498413
40	1.29339737
41	1.292448309
42	1.291752569
43	1.291028274
44	1.290295551
45	1.289225091
46	1.288489945
47	1.287633854
48	1.286678473
49	1.285678968
50	1.284661226
51	1.283871635
52	1.283141
53	1.282329733
54	1.281651378
55	1.280943695
56	1.280003054
57	1.279208213
58	1.278424536
59	1.277699726
60	1.276990612
61	1.276330382
62	1.275451824
63	1.274624731
64	1.27398196
65	1.273313217
66	1.272770608
67	1.272066494
68	1.271381605
69	1.270609097
70	1.270099056
71	1.269319121
72	1.268673296
73	1.268041012
74	1.267479637
75	1.266953125
76	1.266393201
77	1.265681574
78	1.265115541
79	1.264445913
80	1.263843347
81	1.263107872
82	1.26255221
83	1.261867386
84	1.261489114
85	1.260839615
86	1.260298702
87	1.259480018
88	1.258926987
89	1.258532595
90	1.257906385
91	1.257497708
92	1.257004009
93	1.256431181
94	1.25600988
95	1.255549665
96	1.254759499
97	1.254084466
98	1.253502596
99	1.253066849
100	1.25243921
101	1.251858333
102	1.251194177
103	1.250595106
104	1.249850659
105	1.249115781
106	1.248586003
107	1.248042395
108	1.247339648
109	1.246933166
110	1.246497944
111	1.24600394
112	1.245535895
113	1.245249849
114	1.244821476
115	1.244089848
116	1.243549637
117	1.242887953
118	1.24222075
119	1.241784319
120	1.240808031
121	1.240171538
122	1.239745733
123	1.238933564
124	1.238438481
125	1.237908959
126	1.237634303
127	1.236980509
128	1.236598893
129	1.236153215
130	1.23553014
131	1.234988654
132	1.23439469
133	1.233969662
134	1.233358416
135	1.232932364
136	1.232600861
137	1.232442266
138	1.23184687
139	1.231335055
140	1.230584253
141	1.230027919
142	1.229500933
143	1.229110439
144	1.228515731
145	1.227953562
146	1.227430049
147	1.226941184
148	1.226359247
149	1.225854893
150	1.22532902
151	1.224990829
152	1.224445142
153	1.223922346
154	1.223553495
155	1.223114281
156	1.222532791
157	1.222132719
158	1.221693372
159	1.221068023
160	1.220518809
161	1.220192037
162	1.219724329
163	1.219218532
164	1.218901903
165	1.218413229
166	1.217843729
167	1.217156304
168	1.216567059
169	1.215879405
170	1.215427104
171	1.214836878
172	1.214607511
173	1.214363962
174	1.213959198
175	1.213669329
176	1.213151869
177	1.212681705
178	1.212349666
179	1.211771164
180	1.21104089
181	1.2105507
182	1.209973312
183	1.209524457
184	1.208970983
185	1.208488034
186	1.207888815
187	1.207615351
188	1.20728808
189	1.206639798
190	1.206273431
191	1.205714329
192	1.204979789
193	1.204292763
194	1.203937586
195	1.203480144
196	1.202915459
197	1.202180628
198	1.201798336
199	1.201349563
200	1.200860971
201	1.200193032
202	1.199741146
203	1.199281842
204	1.199082325
205	1.198851004
206	1.198203497
207	1.197737778
208	1.19749728
209	1.19706621
210	1.19648892
211	1.196092511
212	1.195261581
213	1.194923008
214	1.194138377
215	1.193762262
216	1.193315603
217	1.1930577
218	1.192684535
219	1.192198468
220	1.191654703
221	1.19092941
222	1.190603224
223	1.190139611
224	1.189571189
225	1.188841678
226	1.188230998
227	1.187540566
228	1.186895427
229	1.186400547
230	1.185696331
231	1.185174295
232	1.184452813
233	1.183920313
234	1.18327258
235	1.182915204
236	1.182579665
237	1.18207538
238	1.181669868
239	1.181302386
240	1.180434525
241	1.179719076
242	1.179075501
243	1.178598621
244	1.178161611
245	1.177679457
246	1.177416492
247	1.176835325
248	1.176417211
249	1.176137598
250	1.175546176
251	1.175314459
252	1.174424681
253	1.174131142
254	1.173753835
255	1.1731223
256	1.172732316
257	1.172254447
258	1.171809261
259	1.171347678
260	1.171083995
261	1.170641801
262	1.170314238
263	1.169901175
264	1.169367487
265	1.168864399
266	1.168605445
267	1.167804209
268	1.16726776
269	1.166600232
270	1.166167454
271	1.165788813
272	1.165410978
273	1.164850992
274	1.164442533
275	1.163955749
276	1.163717159
277	1.163071282
278	1.162471266
279	1.161879114
280	1.161407434
281	1.161091004
282	1.160638312
283	1.160236732
284	1.159593522
285	1.159135561
286	1.158711556
287	1.158380648
288	1.157761341
289	1.157204998
290	1.156780846
291	1.156283009
292	1.155812927
293	1.155414973
294	1.155015994
295	1.154552495
296	1.154005944
297	1.15334993
298	1.15293771
299	1.152545973
300	1.152046004
