iter	Passed	Remaining
0	32	96694
1	69	104400
2	100	100021
3	128	96331
4	156	93859
5	178	89043
6	198	84700
7	223	83725
8	243	80897
9	274	82208
10	298	81112
11	327	81542
12	351	80724
13	372	79447
14	391	77821
15	411	76734
16	434	76201
17	459	76153
18	505	79323
19	556	82849
20	578	82088
21	600	81238
22	618	80097
23	637	79034
24	656	78148
25	677	77486
26	699	77064
27	722	76648
28	743	76120
29	762	75455
30	788	75511
31	828	76803
32	851	76555
33	878	76654
34	906	76775
35	929	76519
36	949	76055
37	966	75360
38	985	74795
39	1007	74548
40	1035	74759
41	1053	74226
42	1071	73655
43	1089	73200
44	1106	72670
45	1123	72145
46	1139	71577
47	1155	71080
48	1174	70709
49	1191	70278
50	1209	69961
51	1232	69900
52	1271	70672
53	1308	71394
54	1346	72116
55	1370	72049
56	1395	72058
57	1425	72302
58	1456	72619
59	1478	72468
60	1497	72140
61	1517	71904
62	1535	71595
63	1553	71261
64	1570	70931
65	1587	70553
66	1603	70204
67	1621	69912
68	1640	69690
69	1657	69377
70	1676	69149
71	1694	68894
72	1713	68698
73	1737	68701
74	1762	68748
75	1783	68600
76	1809	68688
77	1834	68725
78	1862	68882
79	1893	69094
80	1918	69136
81	1950	69395
82	1971	69277
83	1990	69082
84	2007	68829
85	2022	68543
86	2038	68255
87	2054	67984
88	2071	67746
89	2087	67488
90	2104	67262
91	2125	67193
92	2145	67077
93	2165	66956
94	2185	66824
95	2201	66605
96	2219	66410
97	2235	66210
98	2251	65983
99	2267	65752
100	2283	65553
101	2302	65429
102	2321	65290
103	2339	65147
104	2357	64996
105	2374	64823
106	2390	64640
107	2407	64459
108	2423	64285
109	2439	64101
110	2456	63933
111	2472	63765
112	2491	63646
113	2511	63580
114	2531	63501
115	2551	63423
116	2570	63332
117	2588	63223
118	2606	63103
119	2623	62972
120	2642	62866
121	2659	62728
122	2675	62588
123	2691	62435
124	2708	62299
125	2723	62128
126	2738	61949
127	2754	61805
128	2769	61637
129	2785	61494
130	2803	61408
131	2819	61266
132	2836	61143
133	2855	61077
134	2879	61119
135	2902	61119
136	2921	61049
137	2944	61072
138	2962	60979
139	2983	60950
140	3003	60899
141	3020	60782
142	3036	60667
143	3050	60510
144	3064	60345
145	3079	60199
146	3095	60084
147	3110	59947
148	3126	59824
149	3142	59703
150	3158	59597
151	3174	59474
152	3189	59353
153	3205	59236
154	3222	59150
155	3242	59113
156	3262	59069
157	3276	58936
158	3295	58874
159	3311	58775
160	3326	58655
161	3342	58555
162	3358	58459
163	3373	58342
164	3389	58243
165	3405	58142
166	3420	58024
167	3435	57914
168	3450	57801
169	3467	57716
170	3483	57627
171	3500	57549
172	3515	57452
173	3531	57349
174	3548	57288
175	3568	57259
176	3587	57213
177	3602	57118
178	3618	57019
179	3633	56924
180	3648	56828
181	3663	56730
182	3679	56632
183	3694	56541
184	3709	56442
185	3724	56354
186	3739	56247
187	3753	56146
188	3768	56047
189	3784	55977
190	3801	55910
191	3818	55843
192	3834	55763
193	3851	55700
194	3867	55639
195	3888	55633
196	3907	55596
197	3925	55550
198	3941	55473
199	3957	55399
200	3972	55324
201	3987	55232
202	4002	55151
203	4018	55073
204	4033	54988
205	4047	54903
206	4063	54825
207	4078	54745
208	4092	54657
209	4107	54577
210	4123	54502
211	4138	54429
212	4154	54354
213	4169	54278
214	4186	54223
215	4209	54252
216	4225	54191
217	4242	54139
218	4258	54074
219	4274	54016
220	4291	53963
221	4311	53954
222	4332	53955
