iter	Passed	Remaining
406	6563	41814
407	6577	41788
408	6591	41758
409	6605	41729
410	6619	41697
411	6634	41673
412	6649	41649
413	6663	41625
414	6678	41602
415	6693	41574
416	6707	41546
417	6721	41517
418	6734	41483
419	6748	41455
420	6763	41429
421	6777	41406
422	6794	41392
423	6808	41365
424	6823	41342
425	6839	41324
426	6857	41321
427	6874	41312
428	6890	41296
429	6907	41286
430	6924	41276
431	6940	41258
432	6957	41247
433	6972	41226
434	6987	41202
435	7000	41171
436	7014	41142
437	7030	41122
438	7044	41096
439	7059	41070
440	7073	41043
441	7087	41016
442	7102	40994
443	7116	40970
444	7131	40945
445	7148	40935
446	7170	40951
447	7187	40943
448	7202	40923
449	7217	40901
450	7232	40876
451	7248	40860
452	7263	40838
453	7278	40816
454	7293	40796
455	7309	40781
456	7324	40756
457	7338	40731
458	7353	40710
459	7368	40686
460	7382	40659
461	7397	40636
462	7413	40620
463	7429	40604
464	7444	40586
465	7463	40582
466	7485	40601
467	7502	40592
468	7517	40568
469	7531	40540
470	7546	40518
471	7561	40499
472	7575	40473
473	7589	40445
474	7603	40420
475	7617	40393
476	7632	40370
477	7646	40345
478	7660	40318
479	7676	40299
480	7692	40284
481	7707	40263
482	7724	40253
483	7742	40248
484	7765	40269
485	7791	40304
486	7810	40300
487	7828	40298
488	7844	40282
489	7860	40263
490	7874	40240
491	7889	40217
492	7905	40203
493	7922	40188
494	7938	40171
495	7953	40150
496	7968	40129
497	7982	40106
498	7998	40087
499	8012	40061
500	8026	40034
501	8040	40011
502	8055	39989
503	8069	39964
504	8085	39944
505	8101	39930
506	8121	39933
507	8137	39916
508	8153	39904
509	8170	39889
510	8185	39871
511	8201	39855
512	8219	39847
513	8234	39828
514	8249	39805
515	8264	39783
516	8278	39757
517	8292	39735
518	8306	39708
519	8320	39683
520	8335	39663
521	8350	39638
522	8364	39614
523	8379	39592
524	8394	39575
525	8411	39563
526	8433	39574
527	8452	39574
528	8468	39557
529	8483	39537
530	8499	39518
531	8515	39502
532	8529	39477
533	8543	39455
534	8558	39431
535	8573	39411
536	8588	39394
537	8604	39374
538	8619	39354
539	8635	39338
540	8651	39323
541	8672	39329
542	8688	39312
543	8702	39288
544	8720	39282
545	8739	39279
546	8755	39263
547	8772	39253
548	8788	39233
549	8804	39217
550	8818	39195
551	8834	39177
552	8848	39153
553	8863	39131
554	8878	39112
555	8895	39099
556	8910	39082
557	8926	39066
558	8941	39046
559	8957	39028
560	8972	39007
561	8986	38986
562	9001	38962
563	9015	38938
564	9030	38919
565	9047	38908
566	9067	38906
567	9083	38891
568	9097	38870
569	9113	38852
570	9128	38833
571	9143	38813
572	9159	38795
573	9173	38773
574	9188	38749
575	9202	38725
576	9216	38701
577	9230	38678
578	9244	38654
579	9258	38631
580	9273	38608
581	9287	38585
582	9301	38563
583	9315	38537
584	9330	38519
585	9349	38514
586	9366	38503
587	9383	38493
588	9400	38479
589	9417	38468
590	9433	38452
591	9448	38430
592	9462	38409
593	9477	38388
594	9492	38369
595	9507	38348
596	9521	38325
597	9536	38304
598	9550	38281
599	9564	38257
600	9577	38230
601	9591	38207
602	9606	38187
603	9621	38166
604	9639	38159
605	9658	38157
606	9678	38153
607	9694	38140
608	9709	38122
609	9726	38109
610	9741	38089
611	9756	38070
612	9771	38050
613	9786	38031
614	9801	38011
615	9816	37989
616	9829	37965
617	9843	37941
618	9857	37917
619	9872	37897
620	9888	37880
621	9904	37865
622	9920	37849
623	9935	37830
624	9951	37817
625	9970	37810
626	9989	37809
627	10005	37790
628	10021	37774
629	10036	37757
630	10051	37738
631	10068	37724
632	10084	37709
633	10098	37687
634	10114	37668
635	10127	37645
636	10141	37621
637	10155	37598
638	10170	37576
639	10184	37554
640	10198	37533
641	10212	37510
642	10228	37494
643	10243	37473
644	10257	37451
645	10275	37443
646	10296	37445
647	10312	37429
648	10327	37411
649	10342	37391
650	10357	37374
651	10372	37354
652	10388	37339
653	10404	37322
654	10419	37303
655	10435	37287
656	10450	37270
657	10466	37252
658	10480	37231
659	10495	37210
660	10509	37189
661	10524	37170
662	10539	37150
663	10554	37131
664	10570	37116
665	10592	37119
666	10608	37106
667	10624	37089
668	10640	37074
669	10656	37059
670	10671	37040
671	10685	37017
672	10699	36995
673	10713	36973
674	10728	36952
675	10742	36930
676	10758	36914
677	10772	36894
678	10787	36874
679	10802	36854
680	10816	36833
681	10831	36814
682	10845	36793
683	10859	36771
684	10874	36752
685	10894	36749
686	10916	36754
687	10933	36742
688	10950	36728
689	10965	36712
690	10980	36692
691	10996	36674
692	11011	36655
693	11025	36634
694	11039	36614
695	11055	36598
696	11071	36580
697	11086	36563
698	11102	36546
699	11117	36529
700	11132	36509
701	11147	36491
702	11162	36471
703	11177	36453
704	11192	36434
705	11212	36432
706	11229	36418
707	11244	36400
708	11259	36381
709	11274	36365
710	11289	36345
711	11304	36327
712	11319	36308
713	11334	36290
714	11350	36275
715	11365	36254
716	11381	36239
717	11396	36222
718	11412	36207
719	11427	36187
720	11442	36169
721	11458	36153
722	11473	36135
723	11488	36114
724	11502	36094
725	11521	36089
726	11538	36076
727	11554	36061
728	11570	36046
729	11586	36028
730	11601	36011
731	11616	35991
732	11720	36249
733	11825	36506
734	11870	36580
735	11892	36581
736	11958	36720
737	11976	36707
738	11994	36697
739	12009	36677
740	12024	36657
741	12038	36634
742	12052	36611
743	12067	36591
744	12081	36569
745	12095	36546
746	12110	36524
747	12124	36502
748	12138	36481
749	12153	36459
750	12166	36435
751	12181	36414
752	12196	36394
753	12210	36371
754	12224	36349
755	12240	36333
756	12259	36325
757	12277	36314
758	12293	36298
759	12309	36281
760	12326	36265
761	12346	36261
762	12364	36251
763	12379	36232
764	12395	36214
765	12411	36197
766	12427	36180
767	12443	36162
768	12458	36143
769	12472	36122
770	12487	36103
771	12501	36080
772	12517	36061
773	12532	36043
774	12551	36036
775	12570	36026
776	12586	36010
777	12602	35993
778	12618	35975
779	12634	35960
780	12649	35940
781	12664	35920
782	12679	35900
783	12693	35879
784	12708	35858
785	12722	35836
786	12736	35814
787	12751	35794
788	12765	35773
789	12780	35752
790	12794	35730
791	12808	35708
792	12822	35685
793	12836	35664
794	12850	35643
795	12866	35625
796	12888	35625
797	12907	35615
798	12923	35600
799	12939	35582
800	12953	35562
801	12968	35541
802	12982	35519
803	12996	35497
804	13010	35475
805	13026	35459
806	13041	35441
807	13056	35419
808	13071	35400
809	13085	35378
810	13099	35357
811	13113	35336
812	13128	35315
813	13143	35297
814	13158	35277
815	13174	35262
816	13208	35291
817	13226	35281
818	13244	35268
819	13260	35254
820	13276	35237
821	13291	35218
822	13306	35198
823	13321	35179
824	13336	35159
825	13353	35146
826	13370	35133
827	13386	35114
828	13402	35097
829	13417	35080
830	13432	35060
831	13447	35040
832	13461	35019
833	13476	35000
834	13492	34983
835	13511	34973
836	13529	34962
837	13545	34946
838	13560	34927
839	13575	34909
840	13590	34890
841	13604	34868
842	13619	34848
843	13635	34831
844	13651	34815
845	13666	34795
846	13680	34775
847	13695	34756
848	13710	34735
849	13725	34717
850	13740	34697
851	13754	34677
852	13769	34657
853	13784	34638
854	13800	34621
855	13815	34602
856	13832	34588
857	13848	34573
858	13868	34565
859	13884	34549
860	13900	34532
861	13917	34519
862	13933	34502
863	13949	34487
864	13965	34470
865	13980	34450
866	13994	34429
867	14009	34411
868	14024	34392
869	14039	34372
870	14054	34352
871	14068	34332
872	14083	34313
873	14098	34293
874	14113	34276
875	14132	34267
876	14149	34252
877	14166	34239
878	14182	34223
879	14197	34203
880	14213	34185
881	14228	34168
882	14244	34150
883	14258	34130
884	14272	34108
885	14286	34087
886	14301	34068
887	14316	34049
888	14330	34028
889	14344	34006
890	14359	33989
891	14375	33972
892	14389	33950
893	14404	33933
894	14419	33914
895	14434	33896
896	14453	33886
897	14471	33873
898	14486	33855
899	14501	33836
900	14516	33818
901	14531	33800
902	14548	33786
903	14567	33775
904	14583	33760
905	14600	33744
906	14616	33728
907	14633	33714
908	14648	33696
909	14663	33676
910	14678	33657
911	14693	33640
912	14707	33620
913	14722	33599
914	14736	33580
915	14763	33588
916	14782	33579
917	14806	33581
918	14831	33585
919	14860	33597
920	14885	33601
921	14913	33611
922	14941	33623
923	14963	33620
924	14987	33621
925	15007	33612
926	15032	33615
927	15052	33607
928	15068	33591
929	15084	33574
930	15099	33556
931	15120	33550
932	15137	33536
933	15155	33523
934	15171	33506
935	15185	33487
936	15201	33468
937	15216	33450
938	15231	33430
939	15245	33410
940	15259	33390
941	15275	33371
942	15289	33351
943	15303	33330
944	15319	33314
945	15339	33304
946	15357	33292
947	15374	33279
948	15389	33260
949	15405	33243
950	15420	33224
951	15434	33204
952	15448	33182
953	15462	33162
954	15476	33140
955	15491	33121
956	15505	33100
957	15519	33079
958	15534	33060
959	15547	33039
960	15562	33018
961	15576	32999
962	15590	32978
963	15605	32959
964	15620	32940
965	15637	32926
966	15659	32922
967	15684	32924
968	15702	32911
969	15719	32897
970	15736	32883
971	15757	32875
972	15773	32861
973	15789	32843
974	15807	32830
975	15823	32814
976	15839	32797
977	15853	32777
978	15871	32764
979	15886	32746
980	15902	32729
981	15916	32708
982	15931	32689
983	15946	32671
984	15968	32665
985	15986	32653
986	16001	32635
987	16017	32617
988	16032	32600
989	16046	32580
990	16061	32560
991	16075	32539
992	16089	32519
993	16103	32499
994	16118	32479
995	16132	32459
996	16147	32440
997	16165	32427
998	16188	32425
999	16210	32421
1000	16235	32421
1001	16265	32432
1002	16290	32435
1003	16320	32446
1004	16345	32446
1005	16364	32436
1006	16382	32424
1007	16400	32410
1008	16416	32394
1009	16432	32375
1010	16447	32357
1011	16461	32337
1012	16476	32319
1013	16492	32301
1014	16507	32282
1015	16520	32260
1016	16535	32241
1017	16550	32222
1018	16565	32204
1019	16580	32186
1020	16596	32169
1021	16612	32151
1022	16626	32131
1023	16640	32111
1024	16655	32092
1025	16670	32073
1026	16688	32060
1027	16709	32054
1028	16727	32040
1029	16749	32036
1030	16771	32029
1031	16796	32030
1032	16819	32027
1033	16847	32033
1034	16872	32032
1035	16893	32025
1036	16916	32022
1037	16936	32013
1038	16954	31999
1039	16971	31984
1040	16989	31972
1041	17009	31962
1042	17028	31950
1043	17045	31936
